team,Est_WAB,WAB,WAB_diff
A&M-Corpus Christi,-9.352338678374783,-9.48,0.12766132162521693
Abilene Christian,-11.727415170746854,-11.88,0.1525848292531471
Air Force,-20.019237917080922,-20.22,0.20076208291907705
Akron,-2.6938752817174567,-2.79,0.09612471828254332
Alabama,9.858164581748818,10.23,-0.37183541825118205
Alabama A&M,-19.45930403620984,-19.62,0.16069596379016104
Alabama St.,-10.924584771569709,-11.14,0.2154152284302917
Alcorn,-14.82576640308295,-15.06,0.2342335969170506
American,-8.949800429846078,-9.17,0.22019957015392144
App State,-10.308943644523795,-10.48,0.171056355476205
Arizona,4.636918078409065,4.77,-0.1330819215909349
Arizona St.,-4.037335071434562,-4.0,-0.03733507143456194
Ark.-Pine Bluff,-20.740651930763338,-20.91,0.169348069236662
Arkansas,1.0917448051020147,1.37,-0.27825519489798545
Arkansas St.,-5.536407588610008,-5.67,0.13359241138999156
Army West Point,-12.60272613046974,-12.72,0.1172738695302602
Auburn,12.568909436882123,13.06,-0.49109056311787747
Austin Peay,-14.158992651242444,-14.4,0.24100734875755592
BYU,3.9457310548197455,3.88,0.06573105481974562
Ball St.,-14.537273894296577,-14.7,0.16272610570342216
Baylor,1.3703030567647734,1.36,0.010303056764773277
Bellarmine,-21.91609331899616,-22.14,0.22390668100383948
Belmont,-6.149040682522349,-6.35,0.2009593174776505
Bethune-Cookman,-11.222928248069248,-11.43,0.20707175193075145
Binghamton,-14.951849469430783,-15.09,0.13815053056921656
Boise St.,-0.6217806006560602,-0.73,0.10821939934393976
Boston College,-10.97028354776802,-11.03,0.059716452231979744
Boston U.,-13.892489482603361,-14.03,0.13751051739663822
Bowling Green,-15.210694857990108,-15.33,0.1193051420098925
Bradley,-2.95869605116423,-3.07,0.11130394883576988
Brown,-9.244958662128798,-9.32,0.07504133787120182
Bryant,-7.851885236989877,-8.03,0.17811476301012252
Bucknell,-10.96938044404598,-11.11,0.14061955595401976
Buffalo,-18.21910052431587,-18.41,0.19089947568413024
Butler,-6.399372846755259,-6.4,0.0006271532447410522
CSU Bakersfield,-14.591045596318066,-14.63,0.03895440368193448
CSUN,-5.583337067666485,-5.66,0.07666293233351507
Cal Poly,-12.284488774385558,-12.38,0.09551122561444281
Cal St. Fullerton,-19.89908949964184,-20.07,0.17091050035816124
California,-8.993114531796357,-9.16,0.16688546820364358
California Baptist,-10.58782632560925,-10.79,0.20217367439074962
Campbell,-13.475888470768378,-13.59,0.11411152923162149
Canisius,-24.014029342793567,-24.21,0.19597065720643414
Central Ark.,-18.73012111741318,-18.99,0.25987888258681835
Central Conn. St.,-5.240164985537711,-5.41,0.1698350144622891
