team,opponent,date,hca,points,fga,orb,tov,fta,opp_points,opp_fga,opp_orb,opp_tov,opp_fta
Tulsa,Oregon St.,2022-11-07,-1,70,66,14,12,18,73,50,9,19,21
Oregon St.,Tulsa,2022-11-07,1,73,50,9,19,21,70,66,14,12,18
Mississippi Val.,Baylor,2022-11-07,-1,53,49,9,25,29,117,72,22,9,43
Baylor,Mississippi Val.,2022-11-07,1,117,72,22,9,43,53,49,9,25,29
Pacific,Stanford,2022-11-07,-1,78,67,9,12,14,88,48,6,16,34
Stanford,Pacific,2022-11-07,1,88,48,6,16,34,78,67,9,12,14
Coppin St.,Charlotte,2022-11-07,-1,59,54,3,12,17,82,56,8,11,22
Charlotte,Coppin St.,2022-11-07,1,82,56,8,11,22,59,54,3,12,17
New Orleans,Butler,2022-11-07,-1,53,51,6,30,8,89,64,9,15,21
Butler,New Orleans,2022-11-07,1,89,64,9,15,21,53,51,6,30,8
Purdue Fort Wayne,Michigan,2022-11-07,-1,56,71,15,14,7,75,64,4,8,9
Michigan,Purdue Fort Wayne,2022-11-07,1,75,64,4,8,9,56,71,15,14,7
La Salle,Villanova,2022-11-07,-1,68,55,10,9,20,81,52,5,9,11
Villanova,La Salle,2022-11-07,1,81,52,5,9,11,68,55,10,9,20
Howard,Kentucky,2022-11-07,-1,63,67,13,16,13,95,62,10,10,28
Kentucky,Howard,2022-11-07,1,95,62,10,10,28,63,67,13,16,13
Merrimack,St. John's (NY),2022-11-07,-1,72,65,11,21,22,97,65,15,29,15
St. John's (NY),Merrimack,2022-11-07,1,97,65,15,29,15,72,65,11,21,22
Tennessee Tech,Tennessee,2022-11-07,-1,43,40,6,22,19,75,65,16,15,9
Tennessee,Tennessee Tech,2022-11-07,1,75,65,16,15,9,43,40,6,22,19
South Dakota St.,Akron,2022-11-07,-1,80,59,5,13,17,81,69,9,9,12
Akron,South Dakota St.,2022-11-07,1,81,69,9,9,12,80,59,5,13,17
UMES,Old Dominion,2022-11-07,-1,65,53,6,10,18,84,58,15,10,27
Old Dominion,UMES,2022-11-07,1,84,58,15,10,27,65,53,6,10,18
Lindenwood,Dayton,2022-11-07,-1,46,55,6,11,14,73,51,7,9,30
Dayton,Lindenwood,2022-11-07,1,73,51,7,9,30,46,55,6,11,14
Stetson,Florida St.,2022-11-07,-1,83,61,14,8,16,74,59,14,9,27
Florida St.,Stetson,2022-11-07,1,74,59,14,9,27,83,61,14,8,16
NJIT,Saint Peter's,2022-11-07,-1,59,54,11,13,27,73,59,12,9,19
Saint Peter's,NJIT,2022-11-07,1,73,59,12,9,19,59,54,11,13,27
Manhattan,VCU,2022-11-07,-1,56,41,1,27,14,73,54,11,14,33
VCU,Manhattan,2022-11-07,1,73,54,11,14,33,56,41,1,27,14
Siena,Holy Cross,2022-11-07,-1,75,54,6,15,21,68,59,9,14,23
Holy Cross,Siena,2022-11-07,1,68,59,9,14,23,75,54,6,15,21
Houston Christian,FIU,2022-11-07,-1,66,64,14,22,5,77,66,12,14,12
