team,efficiency,efficiency_rank,value,value_rank,estimated_net
Houston,31.480787591422427,1,8.249866451779942,2,1
Alabama,29.660071223313633,2,11.216472582214823,1,2
UCLA,27.585797989232482,4,6.255545056187487,7,3
Purdue,26.078468392668707,5,7.294897548024697,5,4
Texas,25.036832961744967,7,6.023215621558741,8,5
Gonzaga,24.82970428692618,8,6.429119393314684,6,6
Tennessee,29.252925940582987,3,2.9641997837146166,27,7
Kansas,23.596693766709866,9,7.735771418287842,4,8
UConn,25.525197595372394,6,3.5437484122221314,19,9
Arizona,23.487100542764892,11,5.221697690123235,9,10
Marquette,20.912392697314356,13,5.212233511149487,10,11
Fla. Atlantic,19.759436885445833,15,7.759298688927544,3,12
Saint Mary's (CA),23.567908666050656,10,3.2961120469702787,25,13
Baylor,19.858486399550053,14,3.835957866390135,17,14
Duke,19.543790497606903,17,4.8942758397619155,11,15
San Diego St.,19.4551674446018,18,4.8217197240390846,12,16
Creighton,21.09386464506172,12,1.9524818090487455,53,17
Utah St.,19.215395275517917,20,3.2990620299907225,24,18
Arkansas,19.66702753561179,16,2.1755306732074886,42,19
Iowa St.,19.370001888800328,19,2.3616538746927977,34,20
Texas A&M,18.695314087065775,22,3.121120392701254,26,21
Xavier,18.370853773902827,25,3.346276104314955,22,22
West Virginia,19.022773484319643,21,2.1893498606923893,41,23
Memphis,18.1040451679449,27,3.6138681346922445,18,24
Kansas St.,17.971229565922055,28,4.090650456233276,16,25
Kentucky,18.56177487948422,23,2.2827680088266793,37,26
TCU,18.143071202554555,26,2.4847135779972245,32,27
Virginia,17.217611198164708,31,4.329828195374241,13,28
Boise St.,17.659734780457917,29,2.8838946111403763,29,29
Indiana,17.498332807480317,30,2.9016430244313227,28,30
Maryland,18.390036067361034,24,1.9407853575364917,54,31
Michigan St.,16.660748890215988,34,2.2960812213855384,36,32
Auburn,16.949391079130272,32,2.156904049409712,45,33
Illinois,16.683540413977266,33,1.965316632205,50,34
Nevada,15.36172697027884,41,2.3924124207302766,33,35
Miami (FL),14.755184731191333,45,3.3598960347728237,20,36
North Texas,14.844933919634432,43,2.8564867747189293,30,37
Liberty,15.24696987459171,42,2.168421119177228,43,38
Northwestern,15.452130443867885,39,1.8723441529070735,56,39
Oral Roberts,14.067707372749371,50,4.142198754695806,14,40
Rutgers,16.546041637559988,35,1.361966937450778,75,41
Oklahoma St.,15.50041624077718,38,1.6526129219808683,64,42
Iowa,16.101905360762203,36,1.479461964602085,72,43
NC State,14.347330437313342,46,2.3148482918362023,35,44
Missouri,14.013995511661063,52,3.3068023530844592,23,45
Penn St.,14.25859391108317,47,2.0437470142634444,48,46
North Carolina,14.766588984891435,44,1.7257949802340085,61,47
Oregon,15.406160663373358,40,1.327518471102352,79,48
Mississippi St.,14.233644651560635,48,1.9578480631105912,52,49
Southern California,14.138935150513351,49,1.961818226739071,51,50
Ohio St.,15.648122405723097,37,0.9607593762617693,111,51
Drake,13.348128042194226,58,2.5665644837800152,31,52
New Mexico,14.05310333055364,51,1.7602367684524076,60,53
VCU,13.316664742604429,59,2.202651135146044,40,54
Iona,13.803223527351546,55,1.6387049019075008,65,55
Providence,13.603009280386331,57,1.6012716795553976,66,56
Col. of Charleston,12.193879340973703,71,4.1406762737544005,15,57
Clemson,13.132155978116515,63,2.0595302490591028,47,58
UAB,13.037434168826659,64,2.1111719160525566,46,59
Michigan,13.942664209919295,53,1.1980126534861286,90,60
Kent St.,12.111085600079933,72,3.3550843738159837,21,61
Florida,13.652720968280796,56,1.1515014297638975,91,62
Yale,13.251738730025387,61,1.4732143923248184,73,63
Texas Tech,13.857008523083646,54,1.0275882885938041,105,64
Arizona St.,12.340607001890504,70,1.8710817856098667,57,65
Sam Houston,11.975721273544439,75,2.1631627341174946,44,66
Cincinnati,12.513249850176978,66,1.296020747094979,82,67
Colorado,13.303332241827464,60,1.0006697156586444,108,68
Pittsburgh,12.065794755700843,73,1.6896875532213043,63,69
Oklahoma,12.420415882842397,68,1.2251487627449438,85,70
Washington St.,12.98677060478322,65,1.035120496402784,104,71
UCF,13.158390426861585,62,0.8967676419286499,118,72
Utah Valley,11.094407707250163,80,1.9983413867829216,49,73
Bradley,11.487760104987283,78,1.8318330652227945,58,74
Villanova,12.341665350163943,69,1.0473150894060086,103,75
Toledo,10.091229248373326,83,1.8303234934228523,59,76
Dayton,11.885948464249987,76,1.2168147543833572,87,77
Vanderbilt,9.964152459255896,84,1.7221652934503078,62,78
Wisconsin,10.720413340903185,81,1.4370998329956794,74,79
Utah,12.499872841690852,67,0.7366343811759943,131,80
Southern Miss.,8.508671613965534,91,2.20753725249589,39,81
Virginia Tech,11.558922870559826,77,1.1363994574857725,96,82
Seton Hall,12.043239443827103,74,0.9917607339955301,109,83
Marshall,10.363255189376785,82,1.3114510184940573,80,84
Hofstra,9.546335770209405,86,1.5988439667078052,67,85
Louisiana,8.23732267750439,95,2.240451949389632,38,86
Santa Clara,9.341495858189974,88,1.5559459905563144,69,87
Furman,9.477346532545925,87,1.3005959152508135,81,88
BYU,11.183713794744449,79,0.8576399984049464,120,89
Wake Forest,8.719119038104582,90,1.099527156703333,99,90
UNLV,8.464218840133624,92,1.1420025118693662,94,91
San Jose St.,6.8406685057576055,101,1.503393206108338,71,92
Nebraska,7.8964870882061975,96,1.1342539206189692,97,93
UC Santa Barbara,6.762043403326362,103,1.529233906621006,70,94
Indiana St.,9.123298963454605,89,0.7557583520997766,128,95
James Madison,8.323512566927407,94,0.983552311088259,110,96
Saint Louis,7.064568169387631,100,1.200458995109362,89,97
UC Irvine,8.387686739383515,93,0.9077426239210408,117,98
Colgate,7.300191065240755,98,1.054199002131823,102,99
St. John's (NY),7.883051279519728,97,0.9338689007898185,113,100
Montana St.,6.384978546694276,107,1.3436599368829654,78,101
Grand Canyon,6.052389889068867,108,1.225183280056533,84,102
Stanford,9.693154647656096,85,0.4951572934149649,178,103
Akron,6.7573285156985765,104,1.02636278024081,106,104
LMU (CA),5.801442357712314,110,1.1465591799532096,92,105
South Alabama,7.191158374537806,99,0.6943928509847755,140,106
Tulane,5.725891685423182,113,1.2069676005292125,88,107
Vermont,5.641935840700771,114,1.2248734251259494,86,108
Princeton,5.759854191690233,112,1.0932940621145992,100,109
San Francisco,5.910092071516536,109,0.9297005962773807,114,110
Colorado St.,6.809052910111458,102,0.68282056685192,143,111
UNC Greensboro,6.399569638923528,106,0.7301610322796328,133,112
Wichita St.,6.547066167956129,105,0.7000264167981242,138,113
Southern Utah,5.197921157152113,116,1.1011610350474068,98,114
Middle Tenn.,4.941326255064628,117,1.1413681481857552,95,115
Charlotte,5.793664988498475,111,0.7694246377151203,127,116
Belmont,4.88127946927758,118,1.088692333346898,101,117
Kennesaw St.,3.6412206580682835,131,1.900301024171958,55,118
UMass Lowell,4.73254316910278,122,1.1424996520625876,93,119
Southern Ill.,3.658684286159799,130,1.3609761882558453,76,120
Youngstown St.,4.823320680504429,119,0.7742936571042828,126,121
Cal St. Fullerton,4.766765594429874,121,0.8788940765493986,119,122
Washington,4.814510126036785,120,0.7154920267850827,135,123
Eastern Wash.,3.882719236891844,128,0.9520384885209063,112,124
Hawaii,4.491948157416762,123,0.6953219965100049,139,125
Ohio,4.208308824914134,125,0.7118429422753741,136,126
Temple,4.378434814178249,124,0.6763738084236502,147,127
Ole Miss,5.276564958930764,115,0.4747661220084001,183,128
Towson,3.607595990891618,132,0.917137422575591,116,129
Syracuse,4.073532367780081,126,0.6870249813502859,142,130
Cornell,3.8954261797704133,127,0.6895016252868297,141,131
Fordham,1.756432692533413,147,1.3569627169385625,77,132
Duquesne,3.5342704956046673,134,0.7417200861360189,130,133
Samford,3.5995672856901666,133,0.7176956655596791,134,134
