estimated_net,team,efficiency,efficiency_rank,value,value_rank
1,Houston,34.985238510183315,1,12.27800880753964,3
2,UConn,32.06310437736458,2,15.426474253346445,1
3,Purdue,30.991192185606515,3,12.431898650773539,2
4,Auburn,28.686978635125396,5,5.012788788265659,6
5,Iowa St.,27.822533722290764,6,5.906883924282799,4
6,Arizona,30.209156386255348,4,3.8904214862697164,15
7,Tennessee,27.460106331311916,7,4.832586188670821,7
8,North Carolina,25.421358692723715,9,5.179474031407221,5
9,Alabama,25.524136096923904,8,2.9216780423819717,31
10,Duke,24.970300845767586,10,3.0685345231726537,26
11,Illinois,23.517340722479748,15,4.227107992186483,11
12,Marquette,23.367931174853783,16,4.446840778314273,9
13,Creighton,24.63139270223732,12,2.9305778715461517,29
14,BYU,24.71795616675961,11,2.6766498867162074,34
15,Baylor,23.541804442513733,14,3.2086031757201066,24
16,Gonzaga,22.702469753110247,17,3.1445868959789443,25
17,Saint Mary's (CA),23.850707596522398,13,2.324300354246391,43
18,Kansas,20.802279370454478,20,3.283518238575858,22
19,Kentucky,20.99224243631095,19,2.981018068381814,28
20,Wisconsin,21.069417892395364,18,2.769044963297077,32
21,San Diego St.,20.467992325308135,21,3.569261048109277,21
22,Dayton,19.155399386774487,25,3.723685364715627,16
23,New Mexico,20.116572537578946,23,2.981220609850057,27
24,Colorado,19.280803646501724,24,2.4462710411179187,39
25,Florida,18.250898291781294,30,2.928145669948693,30
26,Boise St.,18.50917717718688,28,2.454122429233721,38
27,Texas,18.82552558725252,26,2.097677040611726,46
28,Texas Tech,18.430485656617723,29,2.5779186324972185,35
29,Michigan St.,20.14367920631633,22,1.5229619553615656,69
30,Indiana St.,17.94652663032991,34,3.2775838895075426,23
31,Mississippi St.,18.21762234096925,31,1.9731910973494056,47
32,Nebraska,17.79921454130861,35,2.4671694576618175,37
33,St. John's (NY),18.66314082180817,27,1.4834397192748552,72
34,Nevada,16.667602452267424,44,3.91473415598869,13
35,Clemson,17.423525003286695,37,2.3836199210868214,41
36,Utah St.,15.692062234209125,47,4.5761705948824725,8
37,Fla. Atlantic,16.987891454044814,40,2.5104512363680405,36
38,Cincinnati,18.009751227596794,33,1.5439910434027557,66
39,Colorado St.,16.764485603039077,42,2.7319605008279138,33
40,Villanova,18.12515729492414,32,1.350224738452707,75
41,Pittsburgh,17.389071542622744,38,1.827651780302558,52
42,Drake,15.122212547341727,49,4.240708380660187,10
43,TCU,17.106728535124354,39,1.8547500564606225,51
44,Wake Forest,17.602035183885643,36,1.3845343219818909,74
45,Texas A&M,16.799106241729763,41,1.7722112762902857,55
46,Washington St.,16.654110942654928,45,2.2471151417056014,45
47,Oklahoma,16.71576899026125,43,1.80380436014503,53
48,Grand Canyon,14.130367219097867,54,3.941616587734345,12
49,Virginia,14.399674678330737,51,2.33224152195754,42
50,James Madison,13.773218294281007,58,3.673808497867593,17
51,Ohio St.,15.636983755182778,48,1.539750662640167,67
52,Utah,16.04771035442407,46,1.3191709301700951,77
53,South Carolina,13.316864773705587,62,3.903753944337189,14
54,Northwestern,14.782013660239603,50,1.7139412227015445,62
55,McNeese,13.310136967412408,63,3.5871859362695915,20
