Team	Conference	NET Rank	PrevNET	AvgOppNETRank	AvgOppNET	WL	ConfWL	ConfSOS	NCWL	RoadWL	NETSOS	NETNCSOS	WABRk	WAB	NCWABRk	NCWAB	Q1	Q2	Q3	Q4
Duke	ACC	1	1	13	89	29-2	17-1	62	12-1	10-1	9	9	2	12.60	1	4.81	15-2	5-0	2-0	7-0
Michigan	Big Ten	2	2	1	66	29-2	19-1	50	10-1	11-0	4	6	1	13.26	3	3.98	14-2	8-0	5-0	2-0
Arizona	Big 12	3	3	15	90	29-2	16-2	31	13-0	9-1	15	41	3	12.14	2	4.39	15-2	5-0	2-0	7-0
Florida	SEC	4	4	7	84	25-6	16-2	37	9-4	8-2	10	23	4	8.59	31	0.97	11-5	6-1	3-0	5-0
Illinois	Big Ten	5	6	15	90	24-7	15-5	53	9-2	8-2	19	39	11	6.89	18	1.74	7-7	7-0	5-0	5-0
Gonzaga	WCC	6	5	93	137	29-3	17-2	110	12-1	8-2	87	31	16	6.09	5	3.56	6-2	4-0	11-1	8-0
Houston	Big 12	7	7	20	93	26-5	14-4	35	12-1	6-3	30	117	6	8.05	13	2.37	7-5	11-0	3-0	5-0
Iowa St.	Big 12	8	8	60	111	25-6	12-6	43	13-0	5-5	39	135	13	6.68	8	3.17	6-6	10-0	2-0	7-0
UConn	Big East	9	9	39	99	27-4	17-3	79	10-1	9-2	46	11	5	8.52	4	3.78	7-2	9-1	6-1	5-0
Purdue	Big Ten	10	10	5	77	23-8	13-7	26	10-1	8-3	7	34	12	6.74	10	2.84	8-8	5-0	7-0	3-0
Michigan St.	Big Ten	11	11	10	86	25-6	15-5	45	10-1	6-4	18	62	7	7.96	12	2.45	9-6	5-0	7-0	4-0
Nebraska	Big Ten	12	12	54	105	26-5	15-5	28	11-0	7-3	45	306	8	7.53	21	1.65	9-5	5-0	6-0	6-0
Louisville	ACC	13	14	42	100	22-9	11-7	49	11-2	4-7	25	63	21	4.35	15	2.06	7-9	4-0	4-0	7-0
Virginia	ACC	14	13	66	114	27-4	15-3	66	12-1	8-2	73	203	10	6.93	19	1.67	6-3	9-1	5-0	7-0
Texas Tech	Big 12	15	15	4	72	22-9	12-6	19	10-3	5-5	6	24	18	5.82	17	1.84	8-8	4-1	7-0	3-0
Vanderbilt	SEC	16	16	34	97	24-7	11-7	25	13-0	8-4	28	114	15	6.20	6	3.38	8-6	7-1	3-0	6-0
Alabama	SEC	17	17	3	70	23-8	13-5	39	10-3	7-3	1	5	9	7.47	9	2.89	7-7	9-1	5-0	2-0
Arkansas	SEC	18	18	10	86	23-8	13-5	48	10-3	5-5	16	29	17	6.04	20	1.65	6-8	7-0	4-0	6-0
Kansas	Big 12	19	19	2	68	22-9	12-6	10	10-3	5-6	2	17	14	6.44	14	2.27	8-8	7-1	4-0	3-0
Tennessee	SEC	20	21	24	94	21-10	11-7	11	10-3	5-5	13	64	24	4.22	29	1.05	5-9	6-1	3-0	7-0
St. John's (NY)	Big East	21	22	13	89	25-6	18-2	78	7-4	9-1	66	40	20	5.64	60	-0.28	4-5	9-0	9-1	3-0
Saint Mary's (CA)	WCC	22	20	87	129	26-5	16-3	98	10-2	8-2	91	119	26	3.42	28	1.08	1-4	8-1	10-0	7-0
North Carolina	ACC	23	23	30	96	24-7	12-6	52	12-1	4-6	35	96	19	5.80	11	2.58	6-7	5-0	8-0	5-0
BYU	Big 12	24	24	10	86	21-10	9-9	16	12-1	3-6	12	50	23	4.32	7	3.26	7-8	6-2	3-0	5-0
Iowa	Big Ten	25	25	58	110	20-11	10-10	29	10-1	3-8	37	266	39	1.76	33	0.89	4-9	5-1	5-1	6-0
Wisconsin	Big Ten	26	26	30	96	22-9	14-6	36	8-3	6-4	26	159	22	4.33	69	-0.42	8-7	5-1	3-1	6-0
Saint Louis	Atlantic 10	27	27	134	168	26-4	15-3	118	11-1	7-3	143	315	40	1.56	37	0.71	2-0	3-3	10-1	11-0
Kentucky	SEC	28	28	20	93	19-12	10-8	2	9-4	4-6	5	32	28	3.14	41	0.55	5-10	5-2	3-0	6-0
Utah St.	Mountain West	29	29	72	116	24-6	15-5	88	9-1	7-5	88	190	34	2.44	25	1.13	3-4	8-1	8-1	5-0
Ohio St.	Big Ten	30	30	39	99	20-11	12-8	34	8-3	5-6	24	157	35	2.36	68	-0.41	3-10	6-1	5-0	6-0
Georgia	SEC	31	31	66	114	22-9	10-8	21	12-1	6-4	60	294	29	3.05	27	1.10	6-7	6-1	1-1	9-0
Miami (FL)	ACC	32	32	89	131	24-7	13-5	74	11-2	8-2	77	233	27	3.26	44	0.47	5-5	6-2	3-0	10-0
Villanova	Big East	33	33	34	97	24-7	15-5	77	9-2	9-3	71	99	25	4.14	30	1.02	2-6	8-0	10-1	4-0
UCLA	Big Ten	34	34	47	102	21-10	13-7	54	8-3	4-6	36	136	30	2.79	62	-0.32	4-8	6-2	4-0	7-0
NC State	ACC	35	35	18	92	19-12	10-8	57	9-4	6-4	34	73	43	0.82	57	-0.18	5-7	6-4	4-0	4-1
Clemson	ACC	36	36	66	114	22-9	12-6	75	10-3	6-5	68	83	32	2.49	35	0.77	5-5	6-4	4-0	7-0
Indiana	Big Ten	37	37	47	102	18-13	9-11	24	9-2	3-8	29	222	47	0.15	51	0.17	3-11	3-2	5-0	7-0
Santa Clara	WCC	38	42	89	131	25-7	17-3	92	8-4	8-3	83	103	36	2.27	78	-0.79	2-5	6-1	10-0	7-1
SMU	ACC	39	39	24	94	19-12	8-10	51	11-2	3-8	61	186	48	0.04	34	0.79	4-8	4-4	5-0	6-0
Auburn	SEC	40	38	6	81	16-15	7-11	15	9-4	2-8	3	15	45	0.38	23	1.32	4-12	3-2	3-1	6-0
TCU	Big 12	41	40	75	118	21-10	11-7	46	10-3	5-5	50	162	33	2.47	55	0.04	5-7	6-1	3-1	7-1
Texas	SEC	42	41	57	109	17-13	9-9	14	8-4	4-6	14	69	44	0.69	65	-0.39	6-9	1-3	3-1	7-0
Texas A&M	SEC	43	43	75	118	21-10	11-7	32	10-3	6-5	63	268	37	1.96	79	-0.79	5-6	4-4	4-0	8-0
VCU	Atlantic 10	44	44	104	149	24-7	15-3	109	9-4	7-3	98	94	42	1.06	64	-0.37	1-5	3-2	11-0	9-0
New Mexico	Mountain West	45	45	94	138	21-9	13-7	91	8-2	7-5	85	141	52	-0.36	45	0.42	2-6	6-1	4-2	9-0
Cincinnati	Big 12	46	46	50	104	17-14	9-9	17	8-5	2-8	32	175	62	-1.07	139	-2.13	3-11	4-2	3-0	7-1
San Diego St.	Mountain West	47	47	70	115	19-10	14-6	83	5-4	5-5	80	43	55	-0.49	89	-0.97	2-7	5-2	6-1	6-0
Baylor	Big 12	48	48	15	90	15-15	6-12	1	9-3	3-7	11	116	64	-1.14	53	0.12	3-12	5-3	2-0	5-0
South Fla.	American	49	49	104	149	22-8	15-3	131	7-5	9-3	107	89	60	-1.02	108	-1.58	2-2	5-3	6-3	9-0
Tulsa	American	50	50	142	173	23-6	13-5	134	10-1	8-4	187	327	66	-1.22	46	0.40	0-1	3-3	8-2	12-0
UCF	Big 12	51	51	34	97	20-10	9-9	40	11-1	5-5	55	240	38	1.82	24	1.25	5-6	5-3	4-1	6-0
Akron	MAC	52	52	237	211	24-5	17-1	221	7-4	9-3	241	238	61	-1.04	131	-1.92	0-2	0-2	8-1	16-0
Miami (OH)	MAC	53	55	279	230	28-0	18-0	219	10-0	14-0	339	363	31	2.58	39	0.67	0-0	2-0	11-0	15-0
Oklahoma	SEC	54	54	66	114	17-14	7-11	20	10-3	4-7	27	126	57	-0.74	48	0.28	3-9	6-5	1-0	7-0
Virginia Tech	ACC	55	53	47	102	19-12	8-10	44	11-2	3-7	57	197	46	0.17	38	0.70	2-10	6-2	4-0	7-0
Seton Hall	Big East	56	56	60	111	20-11	10-10	76	10-1	6-5	78	299	58	-0.78	36	0.73	1-5	6-4	7-2	6-0
Boise St.	Mountain West	57	57	42	100	19-10	12-8	80	7-2	6-5	76	53	53	-0.40	32	0.90	2-6	6-3	8-1	3-0
