estimated_net,team,efficiency,efficiency_rank,efficiency_norm,value,value_rank,value_norm,combine_norm
1,Michigan,40.027574269107625,1,1.0,4.598788482011214,2,0.9589906278363084,0.9917981255672618
2,Arizona,37.277934214987454,3,0.9643273765222796,5.013618973550029,1,1.0,0.9714619012178238
3,Duke,38.50932693758774,2,0.98030292535119,4.267843943764806,3,0.9262740652612111,0.9694971533331943
4,Houston,33.25463921397267,5,0.9121309126629693,3.885561673875181,6,0.888482349856372,0.9074012001016499
5,Illinois,33.30565400814586,4,0.9127927562164942,3.339458388790181,13,0.8344955930613503,0.8971333235854655
6,Gonzaga,32.42726441516606,8,0.9013969150880659,3.50778695744561,8,0.8511362428172666,0.8913447806339061
7,Iowa St.,32.56244063597368,7,0.9031506320594148,3.41541627412765,10,0.8420046485722319,0.8909214353619783
8,Purdue,31.855788449858327,9,0.8939828366866248,3.402461803647916,11,0.8407239936736098,0.8833310680840218
9,UConn,30.238717163934105,10,0.8730036634188474,4.243399762319305,4,0.9238575588698492,0.8831744425090479
10,Florida,32.677706926355896,6,0.9046460463302088,2.8179967590561796,20,0.7829448645613316,0.8803058099764335
11,Michigan St.,29.594833843858396,12,0.8646502037701099,3.336215056204554,14,0.8341749632239408,0.8585551556608761
12,Nebraska,28.7807853580016,13,0.8540890959316259,3.629162465108593,7,0.8631352001428095,0.8558983167738626
13,Kansas,28.698243871844806,14,0.8530182389107038,3.4941235970594278,9,0.849785508378713,0.8523716928043057
14,Louisville,29.860635941454667,11,0.8680986035462668,2.6249202926333477,24,0.7638576835823906,0.8472504195534916
15,Vanderbilt,28.513225638041177,15,0.8506178935341884,2.9805470356868717,18,0.799014283096433,0.8402971714466374
16,Saint Louis,26.838427519280398,17,0.8288897976686131,3.3686442236599112,12,0.837380850506243,0.8305880082361392
17,Virginia,26.67000413525428,18,0.8267047465910351,3.03742773674602,16,0.8046374035908146,0.822291277990991
18,BYU,26.492596410628686,20,0.8244031366209865,2.9923959650536958,17,0.8001856462533284,0.819559638547455
19,Arkansas,26.864140334730514,16,0.8292233844530833,2.736269806984815,22,0.7748654898247588,0.8183518055274184
20,Texas Tech,25.71305069958823,22,0.8142896526426204,3.045295627340121,15,0.8054152086463682,0.8125147638433701
21,Iowa,26.642958338327386,19,0.8263538662898181,2.555980789867887,27,0.7570424523413088,0.8124915835001163
22,Tennessee,26.44154685068143,21,0.8237408420315645,2.5369796168523893,31,0.7551640316571188,0.8100254799566754
23,Alabama,25.49173541182876,23,0.8114184052157883,2.7749902395691435,21,0.7786933198965058,0.8048733881519319
24,St. John's (NY),25.359734824175778,25,0.8097058875154709,2.624422621947727,25,0.7638084847824522,0.8005264069688672
25,Utah St.,25.436163256859984,24,0.8106974364631415,2.548833799088691,29,0.7563359141029375,0.7998251319911007
26,North Carolina,24.26563047636399,26,0.7955114578168114,2.8840181917862493,19,0.7894716208167941,0.794303490416808
27,Kentucky,23.521390224270682,29,0.7858560113702461,2.548595865531581,30,0.7563123924332611,0.7799472875828491
28,NC State,24.051491802738102,27,0.7927333166325397,2.1851792109100105,35,0.7203856967253944,0.7782637926511107
29,Saint Mary's (CA),23.68712098662726,28,0.7880061295558475,2.358009587830828,32,0.737471386887767,0.7778991810222314
30,Clemson,22.509465355622833,32,0.7727277421726375,2.7244304270710025,23,0.7736950707090573,0.7729212078799215
31,Indiana,22.93322910518719,30,0.778225467105421,2.0825211651795072,40,0.7102371129331503,0.7646277962709669
32,Auburn,22.704732883052923,31,0.7752610573871149,2.0823407921968555,41,0.71021928159499,0.76225270222869
33,Villanova,21.582040860110368,34,0.7606957437360214,2.554617040165944,28,0.7569076345778951,0.7599381219043962
34,Georgia,21.87303539444921,33,0.764470979131647,1.9841850064947522,42,0.7005157828696547,0.7516799398792485
35,SMU,21.50927881828066,35,0.7597517609344281,2.16131255134782,37,0.7180262830751121,0.751406665362565
36,Miami (FL),20.50311215062177,37,0.746698196109663,2.1260263486823003,39,0.7145379545966875,0.7402661478070679
37,Wisconsin,19.711680001775783,39,0.7364305027031601,2.299195194043994,33,0.7316571051206792,0.735475823186664
38,Texas,20.785827460724935,36,0.7503660204831062,1.730263091672615,52,0.675413533835765,0.7353755231536381
39,UCLA,19.821875341293385,38,0.737860128682648,1.9730236517362507,43,0.6994123920618949,0.7301705813584974
40,Texas A&M,18.815143757648087,41,0.7247992348857691,2.129630589253101,38,0.7148942631274012,0.7228182405340956
41,Ohio St.,19.433033986347112,40,0.7328154715731547,1.786851413950709,48,0.6810077503067211,0.7224539273198681
42,Santa Clara,18.620472487234615,43,0.7222736552481787,2.1680850060625847,36,0.7186957953735675,0.7215580832732564
43,San Diego St.,18.707826054962286,42,0.7234069421037856,1.8757246961046974,45,0.6897935979664288,0.7166842732763143
44,New Mexico,16.922311344835947,45,0.7002424577659805,1.7747617388693935,50,0.6798125874754919,0.6961564837078827
45,UCF,15.216643898794116,50,0.6781138767941978,2.6223650591540735,26,0.7636050779450182,0.6952121170243619
46,Baylor,17.40939955790121,44,0.7065617265004741,1.4065222710485563,66,0.6434091174094265,0.6939312046822645
47,Tulsa,16.830836224979038,46,0.6990556997016494,1.6160647770945233,56,0.6641241004924566,0.6920693798598108
48,TCU,16.47843781031489,48,0.6944838373076525,1.7456157670081451,51,0.6769312708136027,0.6909733240088426
49,Southern California,15.08661653894927,52,0.6764269588855802,2.2968775680175,34,0.7314279889149148,0.6874271648914472
50,VCU,15.573063696932056,49,0.6827379108527386,1.874099176912141,46,0.6896329021572093,0.6841169091136328
51,Washington,16.682713335274343,47,0.6971340183292276,1.2428076124070326,71,0.6272245902306818,0.6831521327095185
52,Miami (OH),10.833957495587889,81,0.6212548265893421,4.198369556729736,5,0.9194059563543736,0.6808850525423484
53,Seton Hall,15.216499920231422,51,0.6781120088795053,1.602012822755831,58,0.6627349503772735,0.675036597179059
54,Boise St.,14.583946321103063,53,0.6699055360586825,1.6105194656022803,57,0.6635759012945013,0.6686396091058463
55,Virginia Tech,13.995494561630164,55,0.6622712211529826,1.7267908523610176,53,0.6750702747044449,0.6648310318632752
56,Nevada,14.343492919819465,54,0.6667859991450875,1.4892464260241502,62,0.651587073773571,0.6637462140707842
57,California,12.8758524038102,62,0.6477454751136619,1.8760023612644883,44,0.6898210474285754,0.6561605895766446
58,Akron,13.10959307028565,59,0.6507779239515074,1.5388256003509542,60,0.6564883788921851,0.6519200149396429
59,West Virginia,13.2853476499464,58,0.6530580867442076,1.4332214252728543,64,0.6460485462228159,0.6516561786399293
60,Belmont,12.939456616746341,61,0.6485706482617865,1.5859847894215557,59,0.6611504487616398,0.6510866083617571
61,Missouri,12.47089184739086,65,0.6424916945576109,1.7265838016976018,54,0.6750498060602976,0.6490033168581483
62,South Fla.,13.574029787770899,57,0.6568033221221712,1.124769694349318,75,0.6155555808164999,0.648553773861037
63,LSU,13.65508477690725,56,0.6578548939830478,1.0509923322465333,76,0.6082620877839477,0.6479363327432278
64,McNeese,12.42076884541002,67,0.6418414207246573,1.376467947291519,68,0.6404380027656874,0.6415607371328634
65,Wake Forest,13.031942320022058,60,0.6497705171919336,0.8369240935411119,87,0.5870996991732851,0.637236353588204
66,Yale,11.930975279092838,71,0.6354870539242241,1.4132488630549769,65,0.6440740958056899,0.6372044623005173
67,Cincinnati,12.467964068098965,66,0.6424537108338326,1.0043124022347518,79,0.6036473965751914,0.6346924479821044
68,Syracuse,12.539006163804142,64,0.6433753798091449,0.9082955924228698,82,0.5941553530348543,0.6335313744542869
