estimated_net,team,efficiency,value,combine,efficiency_rank,value_rank
1,Duke,41.577685233559585,4.863372317703629,15.877666192460415,1,2
2,Michigan,38.917397186609804,4.553434313398891,14.862623175362163,2,3
3,Arizona,37.65308547825099,4.980214760297833,14.782075975683782,3,1
4,Florida,34.847916384471574,3.3384916735227215,12.791319086807377,4,9
5,Houston,33.12125527470666,3.6678592667853978,12.503878069161777,7,4
6,Iowa St.,33.15024890234804,3.3756664503616496,12.308041185957565,6,8
7,Gonzaga,32.18695447117967,3.5732789356846384,12.157381596333147,8,5
8,Illinois,33.415369613050814,3.0083479246285663,12.13045443115524,5,17
9,Purdue,31.973018278376063,3.2613112103839077,11.874823330781552,9,10
10,UConn,28.91495146048012,3.554123398051678,11.16237181678021,10,6
11,Michigan St.,28.811957813245293,3.2336318944975933,10.907129670121902,11,11
12,Virginia,27.73289418653151,3.411807072001657,10.708133206360612,13,7
13,Nebraska,27.46367705578179,3.151611335504596,10.445231051587754,15,12
14,Vanderbilt,27.913615101131594,2.8974306811771453,10.402286007163479,12,19
15,Arkansas,27.098162493942944,3.0164625599978643,10.240972540181389,16,16
16,St. John's (NY),26.61329803592859,3.0685762264418304,10.131992769287859,18,15
17,Louisville,27.72588048784517,2.5067816825215297,10.07251132411862,14,25
18,Alabama,26.5454009974651,2.8523082649407847,9.960236084698078,19,20
19,Texas Tech,26.348097904176885,2.928529572767851,9.95440007219056,20,18
20,Tennessee,26.983717523979898,2.424684499744133,9.792394407014863,17,28
21,Kansas,25.18248714030331,3.0807681500109427,9.711283847098652,22,14
22,Saint Mary's (CA),25.272052354095205,2.593106948550167,9.396790570213678,21,24
23,BYU,24.52895574847554,2.716212889926002,9.260035747490862,23,22
24,North Carolina,23.420846912709923,2.8365511448791665,9.011839875228393,25,21
25,Wisconsin,23.275822044408567,2.650788553695454,8.838298600909388,26,23
26,Iowa,24.28696053372835,1.9721918595643304,8.666622461813535,24,40
27,Utah St.,23.11936380549479,2.3884321105174227,8.607711619010633,28,29
28,Kentucky,23.20873380468291,2.2499141998135066,8.537560081274327,27,33
29,Ohio St.,22.664573098656838,2.231180567972859,8.361198327178053,29,35
30,UCLA,21.784434264041835,2.374395957689148,8.197407449594953,31,30
31,Miami (FL),20.998502551167963,2.478949898541474,8.03481569432942,34,26
32,Georgia,21.839191878533214,2.0651008155199735,7.997328134423945,30,39
33,Saint Louis,21.591248235099158,2.1689987158832875,7.995673571648048,32,37
34,Clemson,20.374249390744595,2.3253171120993885,7.739996795692949,36,32
35,Villanova,19.9552667996543,2.4724894629744325,7.7173226639783925,37,27
36,NC State,21.136713742905304,1.899837467860459,7.670900350373912,33,43
37,SMU,20.40170890377672,1.7241652964768666,7.327428378666822,35,47
38,TCU,18.395675750773417,2.3519940837844437,7.165098583881136,41,31
39,Auburn,19.843320994163687,1.7304143864884198,7.164286368791,38,46
40,Santa Clara,18.11437447561638,2.18435908535435,6.963363702432958,42,36
41,Indiana,19.558269427464896,1.5191804990239912,6.9309071775562625,39,60
42,Texas,18.508861335823976,1.616451414802782,6.68417439110914,40,54
43,Texas A&M,17.292388775788567,1.9070284859254811,6.522636572884407,43,42
44,VCU,16.61837804764666,2.1402086582419586,6.483659475063369,49,38
45,South Fla.,17.214741907647095,1.699737192217052,6.3542386068460655,44,48
46,Oklahoma,16.89712780650667,1.6006295957623393,6.189579058985638,45,55
47,Cincinnati,16.89494444018199,1.57652406493195,6.172050177506962,46,58
48,New Mexico,16.72588111951286,1.5714845851921706,6.117803545488377,48,59
49,San Diego St.,16.423967342590938,1.6933408804415893,6.1125288190863944,50,49
50,Baylor,16.75288355110872,1.448965856405377,6.04014116481638,47,64
51,UCF,14.620390713188268,2.236477168797142,5.95165123211448,54,34
52,Seton Hall,15.323045748234769,1.617179232558326,5.7289391872612585,53,53
53,Tulsa,15.353326740335653,1.4154238406093267,5.596794710527225,52,67
54,Virginia Tech,14.590448480901411,1.6470531090713132,5.5300717206203425,56,52
55,Akron,13.681068229076507,1.9216893784981923,5.449503033671686,58,41
56,Washington,15.369752403317134,1.1030234707720015,5.383042150535541,51,77
57,Missouri,13.485215432105495,1.79818986901108,5.304297537939403,62,44
58,West Virginia,13.996828810346063,1.5010433051305008,5.2497789566951685,57,62
59,McNeese,13.537022759371876,1.6824217242314023,5.238802034773545,60,50
60,Stanford,13.518586092052006,1.5797494087498452,5.161400413740493,61,57
61,Boise St.,13.65490360650119,1.4486383722035987,5.110517942492876,59,65
62,Florida St.,13.429800390455723,1.5032622468150931,5.081223689907282,63,61
63,Northwestern,14.591855239839017,0.9574127485565186,5.0477454959412675,55,87
64,Miami (OH),9.359456575506954,3.08570824089557,4.967832741278984,91,13
65,Wake Forest,13.37816547851894,1.2702430709516106,4.902619793221809,64,73
66,Belmont,12.91333466772078,1.4351057931670657,4.87857445553318,65,66
67,California,12.332707782067365,1.5825648248222655,4.807607711995795,69,56
68,Arizona St.,11.23849910522592,1.6737015012784415,4.543140782462684,79,51
69,Yale,11.983760361302092,1.3411463096985243,4.533930525179595,72,70
70,Dayton,11.54974930299457,1.4958241241423649,4.512001677798026,76,63
71,Oklahoma St.,10.879701424850314,1.7391624112382456,4.481324115321866,81,45
72,Grand Canyon,12.414988043108638,1.0728696805644706,4.475505189327721,68,81
73,Nevada,12.014912474471412,1.239580510909298,4.472180099977932,71,74
74,Colorado,11.577538143892381,1.362388144094645,4.426933144033966,75,69
75,UNI,12.895404248479707,0.7243411081719452,4.3756600502642735,66,98
76,LSU,12.518028125559821,0.795932176698131,4.312560961356638,67,96
77,Southern California,10.850539738974671,1.4101041172783046,4.242234803787214,82,68
78,Minnesota,11.967086929428687,0.8764738805320499,4.203657795201041,73,93
79,Providence,12.068849456672831,0.8327502817003348,4.2035800341920835,70,94
80,Wichita St.,11.66473098794837,0.9684139449196988,4.1773090578283005,74,85
81,High Point,11.313811377423649,1.0711652257302793,4.14395907123829,78,82
82,Ole Miss,11.469545177581017,0.9303790065163348,4.092128857835739,77,88
83,Creighton,11.147061277454922,0.9767382971649399,4.027835191251935,80,84
84,Butler,10.69684534111346,0.9217071917260877,3.8542486365422994,83,89
85,Syracuse,10.606066757307488,0.8876734907106268,3.803191470689685,84,92
86,Utah Valley,9.41859619594983,1.215535038566145,3.67645338578125,90,75
87,Colorado St.,9.654801186819741,1.0798641152113522,3.6523452366938685,87,80
88,Georgetown,9.571972946376924,0.9615070937680709,3.5446468495507264,89,86
89,Hofstra,9.682234130890917,0.895093224984358,3.5312354967563255,86,91
90,George Washington,10.397711831848593,0.3151731471127708,3.3399347525335172,85,133
91,SFA,8.087390095483265,1.2967884990598662,3.3339689779868857,94,71
92,George Mason,8.070770327408717,1.0887054827106295,3.1833249361200555,95,79
93,Marquette,9.647676982495065,0.3970313067330089,3.1722250094616258,88,124
94,Notre Dame,8.829920781649413,0.7004016926437483,3.1392574193454474,92,99
95,Illinois St.,8.68076976508029,0.529203790214108,2.9746735826739625,93,115
96,Xavier,7.6357270608343,0.8134688150049512,2.860146288753756,96,95
97,Kansas St.,7.567297952115066,0.6717394166195463,2.740406977268202,97,101
98,UNCW,6.504652823939348,1.1004847777798201,2.7217351916276784,104,78
99,Wyoming,7.527131619859578,0.5862993301180869,2.6685490170405344,98,108
100,California Baptist,5.842644155439093,1.2952983211345006,2.6595020714258784,111,72
101,DePaul,6.789359362983678,0.6965064431880449,2.524362319126735,102,100
102,Pittsburgh,6.975619020512802,0.5351668367993987,2.46730249191342,101,114
103,Hawaii,6.415076812327,0.76888401406675,2.462741853544825,106,97
104,Oregon,6.497986421079707,0.5540679808617955,2.3372435129271687,105,113
105,South Carolina,6.988506032156498,0.3437066618922019,2.3371464729714906,100,129
106,St. Thomas (MN),7.036982604360078,0.29261739838883477,2.3159269601802075,99,137
107,Murray St.,6.2541755138138795,0.5733881232580522,2.2776243404248,107,111
108,Liberty,4.9583461397922255,1.1238625649833645,2.2742076374260227,119,76
109,Sam Houston,6.224411524336696,0.5790575090430717,2.2726637136311587,108,110
110,Mississippi St.,5.901373327934206,0.6487438366715638,2.2245326840503568,110,104
111,UNLV,5.745040061521257,0.657279801338444,2.183607879393288,112,103
112,UIC,6.525376383546039,0.20073487310623325,2.098127326238175,103,148
113,Bradley,5.6274969966181,0.4985691072590264,2.0372474740667483,113,118
114,Pacific,6.06694353503527,0.29364144333443126,2.025632070844683,109,136
115,North Dakota St.,5.174710052463613,0.6695212911809181,2.0210779195657267,116,102
116,Davidson,5.387813659826876,0.567682570359027,2.0137218971993818,115,112
117,UC Irvine,5.149657501518426,0.5878687514731279,1.9564053764867173,118,107
118,San Francisco,5.164085732255821,0.3464035660338584,1.7917082159004472,117,127
119,UAB,4.6002523033110005,0.4863486439835297,1.7205197417817708,120,119
120,Saint Joseph's,3.336592523146735,0.8974013007022891,1.6291586674356227,129,90
121,Southern Ill.,5.4656187627669945,-0.02810497780681025,1.620012144365331,114,170
122,Seattle U,4.310377813503977,0.44148266973136713,1.60215121286315,123,122
123,Fla. Atlantic,4.345760653390289,0.26933989399955455,1.4922661218167748,122,140
124,UC San Diego,3.550673263339125,0.5115839011258803,1.4233107097898536,125,117
125,UTRGV,4.156776218633525,-0.06920034589819961,1.1985926234613178,124,176
126,Troy,2.5833341237690703,0.6018141766221253,1.1962701607662087,138,105
127,Wright St.,2.868835447955259,0.4728072542792503,1.1916157123820528,134,120
128,Utah,3.439819885443655,0.22803437837401272,1.1915700304949053,128,145
129,Rutgers,2.547356635108956,0.590558809815627,1.1775981574036256,140,106
130,Montana St.,4.355486300143448,-0.19428041156220247,1.1706496019494925,121,196
131,Maryland,2.520506532975766,0.5163200172123629,1.1175759719413838,141,116
132,Toledo,2.875372093034601,0.33691534999224915,1.0984523729049547,133,130
133,William & Mary,3.0650281855495103,0.24489666081767753,1.0909361182372272,131,143
134,Memphis,3.4696209119932218,0.056241025490051416,1.0802549914410025,127,162
135,Duquesne,2.5801688864447914,0.3557596710963601,1.0230824357008894,139,126
136,Penn St.,2.770688426016395,0.2619310100769955,1.0145582348588154,135,141
137,North Texas,2.496383995774125,0.344257360415135,0.989895351022832,142,128
138,Winthrop,2.4277860600080157,0.3607596408414116,0.9808675665913927,145,125
139,Navy,2.319114595817918,0.304640290609151,0.9089825821717811,147,134
140,Penn,1.9549424124607657,0.44227162805822934,0.8960728633789903,151,121
141,Kent St.,0.5641534561326962,1.034382330983993,0.8933136685286039,164,83
142,UC Santa Barbara,2.921905837377705,-0.027341733334271513,0.8574325378793215,132,169
143,ETSU,2.690457757914203,0.06766497333383019,0.8545028087079419,136,159
144,Washington St.,3.522337669220531,-0.29186191850988324,0.8523979578092409,126,209
145,Idaho,3.0709293143434873,-0.1578314744164484,0.8107967622115323,130,190
146,Portland St.,2.410091712877592,0.0788776388893013,0.7782418610857885,146,158
147,Robert Morris,2.0056394167233815,0.22991441561801856,0.7626319159496274,150,144
148,St. Bonaventure,2.3118729781760132,0.08648871233196842,0.7541039920851819,148,157
149,Northern Colo.,2.6455657657475107,-0.07566067982016587,0.7407072538501371,137,177
150,Cornell,2.462185810432373,-0.12607457878740236,0.6504035379785302,144,184
151,Fresno St.,2.4895793494769425,-0.18246431604448518,0.6191487836119431,143,194
152,Rhode Island,1.8202024057843176,0.03257167644918512,0.5688608952497248,153,164
153,Arkansas St.,1.0876917724196522,0.29078427050267,0.5298565210777646,159,138
154,Harvard,1.8490841818965447,-0.03585339360042798,0.5296278790486638,152,171
155,Kennesaw St.,1.2621700592763676,0.15209809748987363,0.4851196860258218,157,150
156,Boston College,2.129128658643714,-0.22052517890413004,0.4843709723602231,149,201
157,Valparaiso,1.3043028179314664,0.0624175676176317,0.4349831427117821,156,161
158,Bowling Green,1.5345114044849213,-0.06598878505064323,0.4141612718100261,154,174
159,Western Ky.,0.8028195789558347,0.09940888569013981,0.31043209366984825,161,155
160,UT Arlington,0.2123573917827781,0.32025816760057013,0.2878879348552325,166,132
161,Towson,0.5760569124627543,0.1417262484395669,0.2720254476465231,163,151
162,Middle Tenn.,0.7861234852582314,-0.0214044436362416,0.22085393503210027,162,168
163,Col. of Charleston,-0.6546308461965957,0.5828806193795872,0.21162717970673234,175,109
164,Austin Peay,-0.04950935074531126,0.32043542358086147,0.20945199128300962,169,131
165,Richmond,1.4533481753219208,-0.3284297254312334,0.20610364479471285,155,215
166,Central Ark.,0.33860618589161007,0.1041613021721934,0.17449476728801838,165,154
167,Georgia Tech,1.1614147711918739,-0.30544402940945337,0.13461361077094477,158,211
168,Temple,0.9862820897715503,-0.26666792912549564,0.10921707654361812,160,206
169,Oregon St.,-0.5338917966467233,0.3018339763122677,0.05111624442457041,173,135
170,Monmouth,0.20131359917016825,-0.01584252924524127,0.049304309279381585,167,167
171,Marshall,-0.6430956551503055,0.22525320680980107,-0.03525145177823091,174,146
172,Charlotte,-0.22480463689311075,-0.05493226788616928,-0.10589397858825171,171,172
173,Oakland,-0.4409170520124681,-0.05720341372183696,-0.17231750520902628,172,173
174,Cal St. Fullerton,-0.728752322663053,0.04390350229332738,-0.18789324519358672,176,163
175,Fordham,0.12532269792982148,-0.3266395883723278,-0.19105090248168302,168,213
176,UC Davis,-0.891709501024745,0.10637294976738788,-0.19305178547025198,178,153
177,Tennessee St.,-1.243390220747393,0.2524929443950672,-0.19627200514767085,184,142
178,Utah Tech,-1.3342403075920386,0.28414318662419685,-0.20137186164067378,185,139
179,LMU (CA),-0.21270734419354204,-0.25367309163820073,-0.24138336740480312,170,204
180,Merrimack,-2.2829478129496885,0.4291995909248561,-0.38444463023750725,200,123
181,Northern Ky.,-1.01224654501082,-0.136403330791275,-0.3991562950571385,180,186
182,Mercer,-0.8544766627454511,-0.2235204675952775,-0.41280732614032956,177,202
183,Marist,-1.0551276144178223,-0.17055192606840722,-0.4359246325732318,181,192
184,CSUN,-1.8905353410333856,0.16910840220238366,-0.4487847207683471,192,149
185,Siena,-1.729858165599187,0.0885773128208559,-0.456953330705157,190,156
186,Columbia,-1.0759721325557272,-0.19898764257027007,-0.4620829895659072,182,198
187,South Alabama,-2.1050736573641644,0.20504717104540077,-0.4879890774774688,197,147
188,Furman,-1.5462474472099625,-0.06672279234108307,-0.5105801888017468,188,175
189,New Mexico St.,-0.996519406990484,-0.34374283253866544,-0.539575804874211,179,216
190,Queens (NC),-1.9629419661547318,0.06708963103990437,-0.5419198481184865,195,160
191,A&M-Corpus Christi,-1.082164375041706,-0.32727373319393643,-0.5537409257482673,183,214
192,App State,-1.9376712128220175,-0.08002745161137234,-0.6373205799745659,193,180
193,Montana,-1.7224036215328216,-0.2802297591044797,-0.7128819178329823,189,208
194,Lipscomb,-2.0137249684188125,-0.17947171867654882,-0.729747693599228,196,193
195,Buffalo,-2.1813870548468075,-0.15660581398684117,-0.7640401862448309,198,189
196,FIU,-1.4347885914998124,-0.5348348588959774,-0.8048209786771279,186,230
197,UMBC,-2.396839108231779,-0.1353613610287529,-0.8138046851896608,202,185
198,LIU,-2.7969924228438714,-0.007940380519358739,-0.8446559932167126,207,166
199,Drake,-1.5090249939022375,-0.5603808580403457,-0.8449740987989132,187,232
200,Campbell,-2.6375588431654484,-0.1150004801101742,-0.8717679890267565,204,182
201,Massachusetts,-2.6425528875545132,-0.15605303273187185,-0.9020029891786642,205,188
202,Weber St.,-1.8000851492280971,-0.6241123857263345,-0.9769042147768633,191,237
203,Eastern Wash.,-1.9415389252241784,-0.6058651508663099,-1.0065672831736705,194,233
204,Howard,-2.321157384846498,-0.5365468552296622,-1.071930014114713,201,231
205,Missouri St.,-2.5938834139331597,-0.5254314672067539,-1.1459670512246758,203,228
206,Tulane,-4.248372434628555,0.13363646505933624,-1.180966204847031,215,152
207,UT Martin,-3.5360013447647924,-0.189027317139011,-1.1931195254267453,208,195
208,Louisiana Tech,-4.159116186632493,-0.08491741540965926,-1.3071770467765091,214,181
209,James Madison,-4.06497701607784,-0.1370207734144337,-1.3154076462134556,212,187
210,South Dakota St.,-2.2499999143492646,-1.0448917527757968,-1.406424201247837,199,270
211,Indiana St.,-2.71515419949646,-1.0025978877474906,-1.5163647812721814,206,263
212,New Orleans,-4.030472084354356,-0.44538741889145256,-1.5209128185303236,211,223
213,Drexel,-4.147486654914287,-0.39865938310233984,-1.5233075646459238,213,220
214,Southern Miss.,-4.804697666144025,-0.11830424937498658,-1.5242222744056981,218,183
215,Green Bay,-4.982670729380496,-0.07900812015649032,-1.550106902923692,220,179
216,Quinnipiac,-5.025140578291623,-0.07802304498438781,-1.5621583049765582,221,178
217,Jacksonville St.,-3.7712287242747533,-0.6179129548318152,-1.5639076856646965,210,235
218,Samford,-4.427987688759638,-0.37020623398223756,-1.5875406704154575,216,219
219,Youngstown St.,-3.6832165005170188,-0.7088038764718328,-1.6011276636853884,209,241
220,Portland,-5.045018810087253,-0.2562290006839818,-1.6928659435049633,222,205
221,Detroit Mercy,-5.188015555576823,-0.2128979322942838,-1.7054332192790456,224,199
222,Ga. Southern,-5.244976077880911,-0.22372646670550417,-1.7301013500581262,227,203
223,Elon,-4.6877036423949,-0.6146974742378281,-1.8365993246849495,217,234
224,Cal Poly,-5.235188359920822,-0.5061864783242732,-1.9248870428032376,226,225
225,Southeast Mo. St.,-5.466939259082311,-0.435731837926621,-1.9450940642733279,230,222
226,Tarleton St.,-5.475471044969186,-0.5131498542186773,-2.00184621144383,231,227
227,Colgate,-5.05994449852311,-0.7214654980579106,-2.02300919819747,223,242
228,Western Caro.,-5.36321686978056,-0.6190804084381651,-2.0423213468408834,229,236
229,Coastal Carolina,-6.815410817344334,-0.0018579856859388543,-2.0459238351834577,244,165
230,Vermont,-5.763512591334803,-0.4755200368260731,-2.0619178031786918,233,224
231,Ohio,-6.20025146084189,-0.3054482115002205,-2.073889186302721,238,212
232,San Diego,-5.2216966943237075,-0.8498904365532248,-2.1614323138843696,225,248
233,Stony Brook,-6.50149872159472,-0.30412602199344363,-2.163337831873826,241,210
234,Saint Peter's,-7.033216528835568,-0.16899555498257127,-2.22826184713847,248,191
235,Idaho St.,-4.901524226129225,-1.1316418918805795,-2.2626065921551732,219,280
236,Eastern Mich.,-5.287971809368143,-1.0047566198120728,-2.289721176678894,228,264
237,Texas St.,-7.183140060216312,-0.1970252915081395,-2.292859722120591,250,197
238,Iona,-7.030061959029798,-0.3656369055552129,-2.364964421597588,247,217
239,UNC Asheville,-5.974714206465973,-0.8294199599466366,-2.3730082339024374,235,247
240,Denver,-6.047722066111539,-0.8147397255620544,-2.3846344277268994,236,246
241,San Jose St.,-6.185873060822867,-0.8058507469172461,-2.419857441088932,237,245
242,Fairfield,-7.618521802536556,-0.21431818583317747,-2.4355792708441912,256,200
243,Rice,-6.608103544481776,-0.6707720070152344,-2.4519714682551967,242,238
244,La Salle,-6.741698440740095,-0.6755621714515694,-2.4954030522381268,243,239
245,Charleston So.,-5.581826800079977,-1.1820317710505548,-2.501970279759381,232,285
246,Wofford,-7.48244583410089,-0.4264859706016145,-2.543273929651397,254,221
247,Abilene Christian,-7.299040695922505,-0.5089740628542072,-2.5459940527746965,252,226
248,FGCU,-6.362697537679258,-0.9155272618642917,-2.5496783446087816,240,255
249,Nicholls,-7.135629833114502,-0.7443033383412261,-2.6617012867732086,249,243
250,Lamar University,-5.787770611716986,-1.3276185240501739,-2.665664150350217,234,297
251,Princeton,-6.303646043364681,-1.1610713103247612,-2.7038437302367373,239,283
252,Purdue Fort Wayne,-8.706043204883743,-0.27027010719259414,-2.8010020364999386,266,207
253,Milwaukee,-7.294041241418424,-0.8756713898800794,-2.8011823453415827,251,252
254,Radford,-6.922009647034646,-1.1082096106723316,-2.852349621581026,246,276
255,Long Beach St.,-6.876401260287959,-1.2172975009017337,-2.915028628717601,245,289
256,Old Dominion,-7.578533334377315,-0.9352235623022024,-2.928216493924736,255,257
257,American,-7.408586093939055,-1.0186566237515517,-2.9356354648078025,253,266
258,Omaha,-7.870280200077577,-0.8707025727247194,-2.970575860930577,258,250
259,SIUE,-8.130050279457803,-0.8920579525809925,-3.063455650644036,260,253
260,Presbyterian,-7.787085491353941,-1.0729521353428928,-3.0871921421462067,257,275
261,Bethune-Cookman,-9.049466573729648,-0.5345377506129051,-3.089016397547928,268,229
262,Lindenwood,-8.672848885088339,-0.8536668424920203,-3.1994214552709153,265,249
263,East Carolina,-8.427674002030244,-0.9623644594068023,-3.2019573221938344,263,260
264,Boston U.,-8.343497900070442,-1.0085378211552825,-3.2090258448298306,262,265
265,Morehead St.,-9.991358902068795,-0.3687739446195571,-3.2555494318543285,275,218
266,Longwood,-8.022146202474048,-1.234101267873524,-3.2705147482536807,259,290
267,Dartmouth,-8.641927319682432,-0.9869304263473098,-3.2834294943478466,264,261
268,Sacramento St.,-8.30288002433337,-1.36967512104042,-3.4496365920283045,261,302
269,UTEP,-9.013799661680098,-1.0699676615662144,-3.4531172616003794,267,273
270,Hampton,-9.400061144762699,-1.0238904939707878,-3.5367416892083607,270,267
271,North Dakota,-10.288634315685792,-0.684961656250112,-3.5660634540808163,278,240
272,Southern Utah,-9.814996414337182,-0.9504086342562745,-3.6097849682805467,273,258
273,UC Riverside,-9.500278499694826,-1.11265482366596,-3.62894192647462,271,278
274,Pepperdine,-9.291215806339878,-1.2596405384695115,-3.669113118830621,269,292
275,Lehigh,-10.54464087051153,-0.9281532551399911,-3.813099539751453,281,256
276,N.C. A&T,-10.03335240396313,-1.1763987752781466,-3.8334848638836414,276,284
277,Mercyhurst,-9.74810516366405,-1.3170714113003656,-3.8463815370094707,272,296
