team,Est_WAB,WAB,WAB_diff
A&M-Corpus Christi,-9.765,-9.84,0.075
Abilene Christian,-13.407,-13.5,0.093
Air Force,-20.687,-20.94,0.253
Akron,-0.736,-0.84,0.104
Alabama,6.587,6.59,-0.003
Alabama A&M,-12.421,-12.47,0.049
Alabama St.,-17.884,-17.88,-0.004
Alcorn,-17.995,-17.95,-0.045
American,-12.31,-12.32,0.01
App State,-9.912,-9.94,0.028
Arizona,13.977,13.94,0.037
Arizona St.,-0.951,-1.0,0.049
Ark.-Pine Bluff,-13.907,-13.83,-0.077
Arkansas,7.323,7.28,0.043
Arkansas St.,-8.092,-8.13,0.038
Army West Point,-18.043,-18.08,0.037
Auburn,0.028,0.14,-0.112
Austin Peay,-6.082,-6.13,0.048
BYU,4.541,4.46,0.081
Ball St.,-15.258,-15.35,0.092
Baylor,-2.0,-2.08,0.08
Bellarmine,-15.113,-15.08,-0.033
Belmont,-1.189,-1.34,0.151
Bethune-Cookman,-9.294,-9.21,-0.084
Binghamton,-21.172,-21.18,0.008
Boise St.,-1.422,-1.69,0.268
Boston College,-10.224,-10.31,0.086
Boston U.,-14.531,-14.54,0.009
Bowling Green,-10.145,-10.34,0.195
Bradley,-6.42,-6.63,0.21
Brown,-14.995,-15.01,0.015
Bryant,-18.646,-18.59,-0.056
Bucknell,-18.789,-18.85,0.061
Buffalo,-10.879,-11.0,0.121
Butler,-4.394,-4.65,0.256
CSU Bakersfield,-19.426,-19.45,0.024
CSUN,-9.454,-9.57,0.116
Cal Poly,-13.904,-13.98,0.076
Cal St. Fullerton,-10.674,-10.76,0.086
California,-0.867,-0.95,0.083
California Baptist,-3.261,-3.3,0.039
Campbell,-11.539,-11.6,0.061
Canisius,-18.293,-18.32,0.027
Central Ark.,-7.196,-7.13,-0.066
Central Conn. St.,-10.104,-10.15,0.046
Central Mich.,-15.997,-16.0,0.003
Charleston So.,-13.825,-13.89,0.065
Charlotte,-10.527,-10.73,0.203
Chattanooga,-15.831,-15.83,-0.001
Chicago St.,-20.134,-20.07,-0.064
Cincinnati,-1.659,-1.8,0.141
Clemson,3.1,3.14,-0.04
Cleveland St.,-18.164,-18.18,0.016
Coastal Carolina,-9.943,-9.98,0.037
Col. of Charleston,-6.531,-6.66,0.129
Colgate,-10.657,-10.64,-0.017
Colorado,-2.812,-2.99,0.178
Colorado St.,-3.399,-3.65,0.251
Columbia,-8.186,-8.21,0.024
Coppin St.,-20.178,-20.12,-0.058
Cornell,-8.621,-8.61,-0.011
Creighton,-4.257,-4.48,0.223
Dartmouth,-12.021,-12.02,-0.001
Davidson,-6.359,-6.42,0.061
Dayton,-1.875,-1.9,0.025
DePaul,-5.524,-5.77,0.246
Delaware,-16.064,-16.06,-0.004
Delaware St.,-19.549,-19.53,-0.019
Denver,-11.93,-11.96,0.03
Detroit Mercy,-10.871,-10.93,0.059
Drake,-13.867,-14.11,0.243
Drexel,-12.511,-12.64,0.129
Duke,13.893,13.97,-0.077
Duquesne,-7.887,-7.92,0.033
ETSU,-8.069,-8.07,0.001
East Carolina,-14.183,-14.3,0.117
East Texas A&M,-15.755,-15.82,0.065
Eastern Ill.,-15.63,-15.57,-0.06
Eastern Ky.,-17.204,-17.21,0.006
Eastern Mich.,-15.65,-15.7,0.05
Eastern Wash.,-13.547,-13.55,0.003
Elon,-13.584,-13.68,0.096
Evansville,-17.963,-18.12,0.157
FDU,-17.493,-17.47,-0.023
FGCU,-14.099,-14.14,0.041
FIU,-12.344,-12.33,-0.014
Fairfield,-10.653,-10.67,0.017
Fla. Atlantic,-8.736,-8.91,0.174
Florida,8.639,8.73,-0.091
Florida A&M,-12.565,-12.54,-0.025
Florida St.,-1.566,-1.54,-0.026
Fordham,-10.084,-10.11,0.026
Fresno St.,-10.657,-10.87,0.213
Furman,-9.008,-9.13,0.122
Ga. Southern,-13.004,-13.07,0.066
Gardner-Webb,-22.681,-22.75,0.069
George Mason,-3.542,-3.69,0.148
George Washington,-7.848,-7.96,0.112
Georgetown,-4.998,-5.24,0.242
Georgia,2.134,2.05,0.084
Georgia St.,-18.748,-18.74,-0.008
Georgia Tech,-9.701,-9.75,0.049
Gonzaga,6.315,6.33,-0.015
Grambling,-15.936,-15.95,0.014
Grand Canyon,-3.429,-3.58,0.151
Green Bay,-10.824,-10.81,-0.014
Hampton,-15.118,-15.23,0.112
Harvard,-8.215,-8.17,-0.045
Hawaii,-4.918,-4.99,0.072
High Point,-1.844,-1.99,0.146
Hofstra,-5.547,-5.63,0.083
Holy Cross,-18.997,-19.02,0.023
Houston,9.078,9.06,0.018
Houston Christian,-15.741,-15.84,0.099
Howard,-7.128,-7.2,0.072
IU Indy,-21.307,-21.31,0.003
Idaho,-10.424,-10.48,0.056
Idaho St.,-15.528,-15.53,0.002
Illinois,6.172,6.26,-0.088
Illinois St.,-6.191,-6.35,0.159
Indiana,-0.812,-0.73,-0.082
Indiana St.,-15.122,-15.23,0.108
Iona,-11.03,-11.08,0.05
Iowa,1.279,1.36,-0.081
Iowa St.,7.371,7.34,0.031
Jackson St.,-14.757,-14.68,-0.077
Jacksonville,-15.788,-15.73,-0.058
Jacksonville St.,-13.806,-13.83,0.024
James Madison,-11.051,-11.05,-0.001
Kansas,6.503,6.5,0.003
Kansas City,-22.468,-22.49,0.022
Kansas St.,-6.127,-6.24,0.113
Kennesaw St.,-8.932,-9.0,0.068
Kent St.,-4.251,-4.45,0.199
Kentucky,3.441,3.43,0.011
LIU,-6.592,-6.59,-0.002
LMU (CA),-10.984,-11.1,0.116
LSU,-4.539,-4.53,-0.009
La Salle,-15.383,-15.45,0.067
Lafayette,-17.918,-17.95,0.032
Lamar University,-14.842,-14.92,0.078
Le Moyne,-14.555,-14.57,0.015
Lehigh,-12.773,-12.82,0.047
Liberty,-3.09,-3.12,0.03
Lindenwood,-11.594,-11.55,-0.044
Lipscomb,-8.609,-8.55,-0.059
Little Rock,-17.081,-17.11,0.029
Long Beach St.,-17.025,-17.09,0.065
Longwood,-13.158,-13.22,0.062
Louisiana,-17.937,-17.99,0.053
Louisiana Tech,-10.456,-10.5,0.044
Louisville,4.172,4.2,-0.028
Loyola Chicago,-16.662,-16.79,0.128
Loyola Maryland,-17.356,-17.39,0.034
Maine,-21.589,-21.59,0.001
Manhattan,-17.078,-17.11,0.032
Marist,-10.019,-10.08,0.061
Marquette,-7.738,-8.0,0.262
Marshall,-9.179,-9.29,0.111
Maryland,-5.88,-5.7,-0.18
Massachusetts,-11.809,-11.98,0.171
McNeese,-0.269,-0.36,0.091
Memphis,-10.068,-10.18,0.112
Mercer,-9.065,-9.05,-0.015
Mercyhurst,-13.9,-13.84,-0.06
Merrimack,-7.146,-7.17,0.024
Miami (FL),3.639,3.65,-0.011
Miami (OH),1.678,1.57,0.108
Michigan,14.014,14.07,-0.056
Michigan St.,7.207,7.27,-0.063
Middle Tenn.,-9.539,-9.62,0.081
