team,opponent,date,hca,points,fga,orb,tov,fta,opp_points,opp_fga,opp_orb,opp_tov,opp_fta
Winthrop,Queens (NC),2025-11-03,0,81,62,16,10,31,74,63,14,17,16
Queens (NC),Winthrop,2025-11-03,0,74,63,14,17,16,81,62,16,10,31
St. Bonaventure,Bradley,2025-11-03,0,69,60,15,13,17,63,56,5,9,13
Bradley,St. Bonaventure,2025-11-03,0,63,56,5,9,13,69,60,15,13,17
Omaha,Murray St.,2025-11-03,0,77,64,10,17,18,85,59,10,14,33
Murray St.,Omaha,2025-11-03,0,85,59,10,14,33,77,64,10,17,18
Drake,Northern Ariz.,2025-11-03,0,77,60,12,10,22,71,73,15,6,12
Northern Ariz.,Drake,2025-11-03,0,71,73,15,6,12,77,60,12,10,22
Maryland,Coppin St.,2025-11-03,0,83,55,11,12,25,61,49,8,20,16
Georgetown,Morgan St.,2025-11-03,1,87,65,14,7,39,70,58,11,16,24
Quinnipiac,St. John's (NY),2025-11-03,-1,74,67,14,22,19,108,69,16,14,34
St. John's (NY),Quinnipiac,2025-11-03,1,108,69,16,14,34,74,67,14,22,19
Furman,High Point,2025-11-03,0,71,57,15,22,19,97,69,9,6,15
High Point,Furman,2025-11-03,0,97,69,9,6,15,71,57,15,22,19
Georgia St.,Eastern Mich.,2025-11-03,-1,49,58,13,17,12,71,73,22,13,11
Eastern Mich.,Georgia St.,2025-11-03,1,71,73,22,13,11,49,58,13,17,12
Morgan St.,Georgetown,2025-11-03,-1,70,58,11,16,24,87,65,14,7,39
IU Indy,Ohio St.,2025-11-03,-1,102,76,12,13,20,118,54,11,17,53
Ohio St.,IU Indy,2025-11-03,1,118,54,11,17,53,102,76,12,13,20
Buffalo,Southern Miss.,2025-11-03,1,85,53,13,8,36,79,50,7,14,20
Southern Miss.,Buffalo,2025-11-03,-1,79,50,7,14,20,85,53,13,8,36
Coppin St.,Maryland,2025-11-03,0,61,49,8,20,16,83,55,11,12,25
South Alabama,Toledo,2025-11-03,-1,76,58,11,10,13,74,55,6,11,9
Penn St.,Fairfield,2025-11-03,1,76,57,7,7,25,68,70,12,7,9
Fairfield,Penn St.,2025-11-03,-1,68,70,12,7,9,76,57,7,7,25
Dayton,Canisius,2025-11-03,1,88,51,11,4,41,48,50,11,19,11
Arkansas,Southern U.,2025-11-03,1,109,73,14,9,29,77,69,12,12,24
Southern U.,Arkansas,2025-11-03,-1,77,69,12,12,24,109,73,14,9,29
George Mason,Wofford,2025-11-03,1,70,55,8,12,16,46,50,10,16,16
Wofford,George Mason,2025-11-03,-1,46,50,10,16,16,70,55,8,12,16
Colgate,Michigan St.,2025-11-03,-1,69,57,3,13,6,80,60,19,10,37
Michigan St.,Colgate,2025-11-03,1,80,60,19,10,37,69,57,3,13,6
James Madison,Akron,2025-11-03,-1,71,61,12,19,13,85,63,15,8,29
Akron,James Madison,2025-11-03,1,85,63,15,8,29,71,61,12,19,13
Virginia Tech,Charleston So.,2025-11-03,1,98,76,18,7,27,67,71,15,15,15
Charleston So.,Virginia Tech,2025-11-03,-1,67,71,15,15,15,98,76,18,7,27
Bucknell,Delaware,2025-11-03,1,78,62,12,13,14,70,64,12,12,18
Delaware,Bucknell,2025-11-03,-1,70,64,12,12,18,78,62,12,13,14
Troy,Kent St.,2025-11-03,-1,103,63,6,12,33,97,79,22,14,33
Kent St.,Troy,2025-11-03,1,97,79,22,14,33,103,63,6,12,33
Central Mich.,App State,2025-11-03,1,82,58,13,12,17,66,59,17,9,29
App State,Central Mich.,2025-11-03,-1,66,59,17,9,29,82,58,13,12,17
Rhode Island,Stetson,2025-11-03,1,93,63,15,14,24,62,55,11,20,22
Stetson,Rhode Island,2025-11-03,-1,62,55,11,20,22,93,63,15,14,24
Binghamton,Syracuse,2025-11-03,-1,47,45,7,22,22,85,66,11,5,16
Syracuse,Binghamton,2025-11-03,1,85,66,11,5,16,47,45,7,22,22
Boston College,Fla. Atlantic,2025-11-03,-1,78,67,14,14,24,83,67,9,12,25
Fla. Atlantic,Boston College,2025-11-03,1,83,67,9,12,25,78,67,14,14,24
Cincinnati,Western Caro.,2025-11-03,1,94,59,7,15,30,63,64,14,22,14
Western Caro.,Cincinnati,2025-11-03,-1,63,64,14,22,14,94,59,7,15,30
Youngstown St.,Pittsburgh,2025-11-03,-1,59,56,8,12,9,74,53,17,18,27
Pittsburgh,Youngstown St.,2025-11-03,1,74,53,17,18,27,59,56,8,12,9
NC State,N.C. Central,2025-11-03,1,114,64,14,9,30,66,48,7,18,28
