season,team,conference,state,score,todisplay,bgcolor,fgcolor
1893,Iowa,Ind,Iowa,2,2-0,#FFFFFF,#000000
1895,Drexel,Ind,Pennsylvania,7,7-2,#FFFFFF,#000000
1895,Temple,Ind,Pennsylvania,8,8-3,#FFFFFF,#000000
1896,Temple,Ind,Pennsylvania,15,15-7,#FFFFFF,#000000
1896,Yale,Ind,Connecticut,8,8-5,#FFFFFF,#000000
1896,Bucknell,Ind,Pennsylvania,1,1-3,#FFFFFF,#000000
1896,Drexel,Ind,Pennsylvania,0,0-1,#FFFFFF,#000000
1897,Nebraska,Ind,Nebraska,2,2-0,#FFFFFF,#000000
1897,Bucknell,Ind,Pennsylvania,4,4-1,#FFFFFF,#000000
1897,Yale,Ind,Connecticut,11,11-5,#FFFFFF,#000000
1897,Purdue,Ind,Indiana,1,1-1,#FFFFFF,#000000
1897,Temple,Ind,Pennsylvania,10,10-11,#FFFFFF,#000000
1898,Temple,Ind,Pennsylvania,22,22-5,#FFFFFF,#000000
1898,Yale,Ind,Connecticut,12,12-9,#FFFFFF,#000000
1898,Bucknell,Ind,Pennsylvania,4,4-4,#FFFFFF,#000000
1898,Butler,Ind,Indiana,2,2-3,#FFFFFF,#000000
1898,Minnesota,Ind,Minnesota,2,2-4,#FFFFFF,#000000
1898,Notre Dame,Ind,Indiana,1,1-2,#FFFFFF,#000000
1898,Nebraska,Ind,Nebraska,1,1-3,#FFFFFF,#000000
1899,Illinois St.,Ind,Illinois,2,2-0,#FFFFFF,#000000
1899,Nebraska,Ind,Nebraska,4,4-0,#FFFFFF,#000000
1899,Notre Dame,Ind,Indiana,2,2-0,#FFFFFF,#000000
1899,Yale,Ind,Connecticut,9,9-2,#FFFFFF,#000000
1899,Temple,Ind,Pennsylvania,18,18-6,#FFFFFF,#000000
1899,Kansas,Ind,Kansas,7,7-4,#FFFFFF,#000000
1899,Bucknell,Ind,Pennsylvania,3,3-5,#FFFFFF,#000000
1899,Butler,Ind,Indiana,0,0-2,#FFFFFF,#000000
1899,Minnesota,Western,Minnesota,5,5-4,#FFFFFF,#000000
1899,Wisconsin,Western,Wisconsin,0,0-3,#FFFFFF,#000000
1900,Illinois St.,Ind,Illinois,5,5-0,#FFFFFF,#000000
1900,Nebraska,Ind,Nebraska,5,5-0,#FFFFFF,#000000
1900,Bucknell,Ind,Pennsylvania,6,6-3,#FFFFFF,#000000
1900,Butler,Ind,Indiana,2,2-1,#FFFFFF,#000000
1900,Temple,Ind,Pennsylvania,14,14-8,#FFFFFF,#000000
1900,Yale,Ind,Connecticut,9,9-6,#FFFFFF,#000000
1900,Indiana St.,Ind,Indiana,2,2-2,#FFFFFF,#000000
1900,Michigan St.,Ind,Michigan,2,2-2,#FFFFFF,#000000
1900,Kansas,Ind,Kansas,3,3-4,#FFFFFF,#000000
1900,Minnesota,Western,Minnesota,10,10-2,#FFFFFF,#000000
1900,Wisconsin,Western,Wisconsin,1,1-1,#FFFFFF,#000000
1900,Purdue,Western,Indiana,0,0-1,#FFFFFF,#000000
1901,Michigan St.,Ind,Michigan,3,3-0,#FFFFFF,#000000
1901,Bucknell,Ind,Pennsylvania,12,12-1,#FFFFFF,#000000
1901,Illinois St.,Ind,Illinois,4,4-1,#FFFFFF,#000000
1901,Butler,Ind,Indiana,2,2-1,#FFFFFF,#000000
1901,Yale,Ind,Connecticut,10,10-6,#FFFFFF,#000000
1901,Princeton,Ind,New Jersey,7,7-5,#FFFFFF,#000000
1901,Harvard,Ind,Massachusetts,11,11-8,#FFFFFF,#000000
1901,Nebraska,Ind,Nebraska,3,3-3,#FFFFFF,#000000
1901,Vanderbilt,Ind,Tennessee,2,2-2,#FFFFFF,#000000
1901,Brown,Ind,Rhode Island,3,3-4,#FFFFFF,#000000
1901,Colgate,Ind,New York,5,5-8,#FFFFFF,#000000
1901,Kansas,Ind,Kansas,4,4-8,#FFFFFF,#000000
1901,Indiana St.,Ind,Indiana,0,0-4,#FFFFFF,#000000
1901,Purdue,Western,Indiana,12,12-0,#FFFFFF,#000000
1901,Minnesota,Western,Minnesota,11,11-3,#FFFFFF,#000000
1901,Wisconsin,Western,Wisconsin,1,1-1,#FFFFFF,#000000
1901,Indiana,Western,Indiana,1,1-4,#FFFFFF,#000000
1902,Michigan St.,Ind,Michigan,5,5-0,#FFFFFF,#000000
1902,Bucknell,Ind,Pennsylvania,13,13-2,#FFFFFF,#000000
1902,Colgate,Ind,New York,7,7-2,#FFFFFF,#000000
1902,Illinois St.,Ind,Illinois,3,3-1,#FFFFFF,#000000
1902,Temple,Ind,Pennsylvania,8,8-3,#FFFFFF,#000000
1902,Vanderbilt,Ind,Tennessee,5,5-2,#FFFFFF,#000000
1902,Lehigh,Ind,Pennsylvania,9,9-5,#FFFFFF,#000000
1902,Nebraska,Ind,Nebraska,5,5-3,#FFFFFF,#000000
1902,Cincinnati,Ind,Ohio,5,5-4,#FFFFFF,#000000
1902,Holy Cross,Ind,Massachusetts,4,4-5,#FFFFFF,#000000
1902,Kansas,Ind,Kansas,5,5-7,#FFFFFF,#000000
1902,Oregon St.,Ind,Oregon,1,1-2,#FFFFFF,#000000
1902,Brown,Ind,Rhode Island,5,5-15,#FFFFFF,#000000
1902,Butler,Ind,Indiana,1,1-3,#FFFFFF,#000000
1902,Indiana St.,Ind,Indiana,1,1-6,#FFFFFF,#000000
1902,Washington St.,Ind,Washington,0,0-2,#FFFFFF,#000000
1902,Yale,Ivy,Connecticut,13,5-3 Ivy,#FFFFFF,#000000
1902,Harvard,Ivy,Massachusetts,9,4-4 Ivy,#FFFFFF,#000000
1902,Princeton,Ivy,New Jersey,10,4-4 Ivy,#FFFFFF,#000000
1902,Minnesota,Western,Minnesota,15,15-0,#FFFFFF,#000000
1902,Iowa,Western,Iowa,10,10-2,#FFFFFF,#000000
1902,Purdue,Western,Indiana,10,10-3,#FFFFFF,#000000
1902,Wisconsin,Western,Wisconsin,7,7-3,#FFFFFF,#000000
1902,Indiana,Western,Indiana,4,4-4,#FFFFFF,#000000
1903,Army West Point,Ind,New York,1,1-0,#FFFFFF,#000000
1903,Bucknell,Ind,Pennsylvania,10,10-0,#FFFFFF,#000000
1903,Michigan St.,Ind,Michigan,6,6-0,#FFFFFF,#000000
1903,Vanderbilt,Ind,Tennessee,6,6-0,#FFFFFF,#000000
1903,Colgate,Ind,New York,7,7-1,#FFFFFF,#000000
1903,Oregon St.,Ind,Oregon,5,5-1,#FFFFFF,#000000
1903,Fordham,Ind,New York,15,15-6,#FFFFFF,#000000
1903,Ohio St.,Ind,Ohio,5,5-2,#FFFFFF,#000000
1903,Lehigh,Ind,Pennsylvania,4,4-2,#FFFFFF,#000000
1903,Nebraska,Ind,Nebraska,7,7-5,#FFFFFF,#000000
1903,Holy Cross,Ind,Massachusetts,6,6-5,#FFFFFF,#000000
1903,Cincinnati,Ind,Ohio,4,4-4,#FFFFFF,#000000
1903,Illinois St.,Ind,Illinois,3,3-3,#FFFFFF,#000000
1903,Washington St.,Ind,Washington,2,2-2,#FFFFFF,#000000
1903,Kansas,Ind,Kansas,7,7-8,#FFFFFF,#000000
1903,Temple,Ind,Pennsylvania,5,5-6,#FFFFFF,#000000
1903,BYU,Ind,Utah,4,4-5,#FFFFFF,#000000
1903,Indiana St.,Ind,Indiana,5,5-7,#FFFFFF,#000000
1903,Brown,Ind,Rhode Island,6,6-10,#FFFFFF,#000000
1903,Butler,Ind,Indiana,1,1-3,#FFFFFF,#000000
1903,Oregon,Ind,Oregon,0,0-2,#FFFFFF,#000000
1903,Yale,Ivy,Connecticut,15,7-1 Ivy,#FFFFFF,#000000
1903,Princeton,Ivy,New Jersey,8,4-4 Ivy,#FFFFFF,#000000
1903,Harvard,Ivy,Massachusetts,5,2-6 Ivy,#FFFFFF,#000000
1903,Minnesota,Western,Minnesota,13,13-0,#FFFFFF,#000000
1903,Purdue,Western,Indiana,8,8-0,#FFFFFF,#000000
1903,Wisconsin,Western,Wisconsin,5,5-2,#FFFFFF,#000000
1903,Indiana,Western,Indiana,8,8-4,#FFFFFF,#000000
1903,Iowa,Western,Iowa,4,4-3,#FFFFFF,#000000
1904,Illinois St.,Ind,Illinois,7,7-1,#FFFFFF,#000000
1904,Vanderbilt,Ind,Tennessee,6,6-1,#FFFFFF,#000000
1904,Holy Cross,Ind,Massachusetts,10,10-2,#FFFFFF,#000000
1904,Canisius,Ind,New York,9,9-2,#FFFFFF,#000000
1904,Maine,Ind,Maine,8,8-2,#FFFFFF,#000000
1904,Fordham,Ind,New York,19,19-5,#FFFFFF,#000000
1904,Lehigh,Ind,Pennsylvania,5,5-2,#FFFFFF,#000000
1904,Ohio St.,Ind,Ohio,10,10-4,#FFFFFF,#000000
1904,Colgate,Ind,New York,12,12-5,#FFFFFF,#000000
1904,Oregon St.,Ind,Oregon,7,7-3,#FFFFFF,#000000
1904,Army West Point,Ind,New York,2,2-1,#FFFFFF,#000000
1904,Washington St.,Ind,Washington,2,2-1,#FFFFFF,#000000
1904,Nebraska,Ind,Nebraska,9,9-5,#FFFFFF,#000000
1904,Michigan St.,Ind,Michigan,5,5-3,#FFFFFF,#000000
1904,Bucknell,Ind,Pennsylvania,7,7-5,#FFFFFF,#000000
1904,Syracuse,Ind,New York,11,11-8,#FFFFFF,#000000
1904,Cincinnati,Ind,Ohio,8,8-6,#FFFFFF,#000000
1904,West Virginia,Ind,West Virginia,4,4-3,#FFFFFF,#000000
1904,Butler,Ind,Indiana,2,2-2,#FFFFFF,#000000
