team,state,bgcolor,fgcolor,yearchecked
A&M-Corpus Christi,Texas,#0067C5,#FFFFFF,23
Abilene Christian,Texas,#4F2170,#FFFFFF,25
Air Force,Colorado,#003594,#FFFFFF,23
Akron,Ohio,#041E42,#FFFFFF,24
Alabama,Alabama,#9E1B32,#FFFFFF,23
Alabama A&M,Alabama,#61162D,#000000,24
Alabama St.,Alabama,#C79900,#000000,24
Alcorn,Mississippi,#512D6D,#FFFFFF,23
American,D.C.,#004FA2,#FFFFFF,25
App State,North Carolina,#FFCC00,#222222,23
Arizona,Arizona,#AB0520,#FFFFFF,24
Arizona St.,Arizona,#FFC627,#8C1D40,24
Ark.-Pine Bluff,Arkansas,#FDB913,#000000,23
Arkansas,Arkansas,#9D2235,#FFFFFF,23
Arkansas St.,Arkansas,#CC092F,#000000,23
Army West Point,New York,#D3BC8D,#2C2A29,23
Auburn,Alabama,#E87722,#0C2340,23
Austin Peay,Tennessee,#C41E3A,#FFFFFF,25
Ball St.,Indiana,#BA0C2F,#FFFFFF,25
Baylor,Texas,#154734,#FFB81C,23
Bellarmine,Kentucky,#752936,#FFFFFF,23
Belmont,Tennessee,#001D54,#FFFFFF,25
Bethune-Cookman,Florida,#6F263D,#F2A900,23
Binghamton,New York,#005A43,#FFFFFF,23
Boise St.,Idaho,#0033A0,#FFFFFF,23
Boston College,Massachusetts,#862633,#B29D6C,23
Boston U.,Massachusetts,#CC0000,#FFFFFF,24
Bowling Green,Ohio,#FD5000,#FFFFFF,24
Bradley,Illinois,#A50000,#FFFFFF,25
Brown,Rhode Island,#ED1C24,#FFFFFF,23
Bryant,Rhode Island,#826E38,#000000,23
Bucknell,Pennsylvania,#E87722,#003865,23
Buffalo,New York,#005BBB,#FFFFFF,25
Butler,Indiana,#13294B,#FFFFFF,23
BYU,Utah,#002E5D,#FFFFFF,23
Cal Poly,California,#154734,#BD8B13,25
Cal St. Fullerton,California,#00244E,#FF7900,25
California,California,#003262,#FDB515,23
